id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Urban Beats,Rhythm Kings,hip-hop,energetic,0.88,95,0.75,0.92,0.12
12,Country Roads,Willow Creek,country,nostalgic,0.65,110,0.70,0.68,0.85
13,Symphony of Dreams,Orchestra Nova,classical,calm,0.25,80,0.55,0.30,0.95
14,Electric Pulse,Techno Wave,electronic,upbeat,0.95,140,0.80,0.85,0.08
15,Island Vibes,Tropical Echo,reggae,relaxed,0.60,100,0.78,0.75,0.40
16,Bluesy Nights,Delta Blues,blues,sad,0.45,85,0.35,0.55,0.78
17,Folk Tales,Acoustic Wanderers,folk,romantic,0.50,120,0.65,0.60,0.90
18,Metal Storm,Thunder Forge,metal,angry,0.98,160,0.20,0.45,0.05
